CZ,Horizon,InputHist,InputMete,InputNWP,InputST,ModClass,Reference,ResMin,SS,TestLength,TrainLength,Type,Year
C,10,1,0,0,0,ImageBased,SP,5,15.7,109.770833333333,154.1875,Sources,2018
A,240,1,1,0,0,TS,Persistence,60,60.3448275862069,365,366,Sources,2015
C,60,1,0,0,0,ImageBased,SP,60,23.8,730,731,PV,2018
B,1440,1,0,1,0,NWP,Persistence,60,34.74,731,0,Sources,2019
E,60,1,1,0,0,Ens,Persistence,60,20,365,183,Sources,2019
D,60,1,1,0,0,Ens,Persistence,60,35,365,183,Sources,2019
C,5,1,0,0,1,TS,Persistence,1,16.6,25,25,Sources,2016
C,1440,1,0,0,0,Ens_Hyb,Persistence,60,28,365,0,PV,2018
C,120,1,1,0,1,Reg,SP,60,12.272,350,700,Sources,2015
C,720,1,0,0,0,TS,Persistence,60,29.7,365,0,PV,2017
B,60,1,0,0,0,ML,SP,60,-5.61698642220332,731,730,Sources,2019
N,180,1,1,0,1,Reg,SP,60,31.276,350,700,Sources,2015
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,25,184,181,PV,2018
C,240,1,1,0,0,TS,SP,60,18.82,365,366,Sources,2015
C,1440,1,0,0,0,TS,Persistence,60,23,365,0,PV,2018
C,60,1,1,0,0,Reg,SP,60,0.804,350,700,Sources,2015
C,165,1,0,1,0,TS,SP,15,27.1,365,853,PV,2021
B,60,1,0,0,0,Reg,Persistence,60,35.6306392781724,731,730,Sources,2019
C,120,1,1,0,0,ML,SP,60,6.012,350,700,Sources,2015
C,120,1,1,0,0,ML,SP,60,29.29,92,5114,Sources,2020
B,180,1,1,0,0,ML,SP,60,17.6192973256424,273.75,821.25,Sources,2015
C,345,1,1,0,0,ImageBased,SP,15,37,181,731,Sources,2021
C,1440,0,0,1,0,Ens,Persistence,60,85,730,730,Sources,2020
D,15,1,0,0,0,ML,Persistence,1,63.3106134371957,365,292,Sources,2022
C,240,1,0,0,0,TS,SP,10,13.1374243733794,365,365,Sources,2021
B,60,1,1,0,0,ML,SP,60,27.6640121350019,730,2922,Sources,2021
C,60,1,1,0,0,ML,SP,60,4.265,350,700,Sources,2015
D,15,1,0,0,0,ML,Persistence,15,-10.1,183,365,Sources,2017
C,2880,1,0,0,1,ML,Persistence,60,-15,184,181,PV,2018
C,120,1,1,0,1,Reg,SP,60,2.812,350,700,Sources,2015
C,30,1,0,0,0,ML,SP,5,7.8,366,730,Sources,2021
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,32,184,181,PV,2018
A,105,1,1,0,0,TS,SP,15,20.71,274,548,Sources,2020
D,60,1,1,0,0,ML,SP,10,15.92,731,1096,Sources,2020
A,60,1,1,0,0,Ens,Persistence,60,43,365,183,Sources,2019
A,1440,1,1,0,0,Reg,Persistence,60,37.6,365,1096,Sources,2017
B,60,1,0,0,0,ML,Persistence,60,57.4859478794073,731,730,Sources,2019
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,28,184,181,PV,2018
C,45,1,1,0,0,Ens,SP,15,10.87,198,396,Sources,2020
D,10,1,0,0,0,ImageBased,Persistence,10,9,365,292,Sources,2019
D,60,1,0,0,0,ML,SP,60,65.41,31,2920,Sources,2016
C,300,0,0,0,0,ImageBased,SP,60,17.6,365,1675,Sources,2018
C,60,1,1,0,1,Hybrid,SP,60,35.4665182711927,73,1460,Sources,2021
C,1440,1,0,0,0,Ens_Hyb,Persistence,60,28,365,0,PV,2018
B,240,0,1,0,0,ML,SP,60,24.04,91,274,Sources,2016
C,180,1,1,0,0,ML,Persistence,60,60.3694714131607,365,366,Sources,2015
B,60,1,1,0,1,ML,SP,60,8.88577029314801,90,1460,Sources,2021
A,240,1,0,1,0,ML,SP,60,31.8,365,366,Sources,2016
C,2880,1,0,0,1,Ens,Persistence,60,17,184,181,PV,2018
C,30,1,1,0,0,ML,SP,15,10.86,198,396,Sources,2020
B,1440,1,0,0,0,ML,Persistence,60,41.6657013784316,365,365,Sources,2021
D,240,0,1,0,0,ImageBased,SP,15,6.8,123,0,Sources,2020
C,1440,1,0,0,0,ML,Persistence,360,40.6,183,365,Sources,2017
D,30,1,1,0,0,ML,SP,15,10.16,274,548,Sources,2020
C,15,1,0,0,0,ML,SP,5,12.8,91,183,Sources,2015
B,60,1,1,0,1,Hybrid,SP,60,38.6661942321913,90,1460,Sources,2021
N,300,1,0,0,0,ML,Persistence,60,40.6962962962963,73,292,Sources,2018
E,1440,1,0,0,0,ML,Persistence,360,22.5,183,365,Sources,2017
B,240,1,1,1,0,TS,Persistence,15,16.23,731,0,Sources,2019
A,75,1,1,0,0,TS,SP,15,17.36,274,548,Sources,2020
C,10,1,1,0,0,ImageBased,SP,1,4.3,44,132,Sources,2017
D,1440,1,1,1,0,ML,SP,15,40,365,365,PV,2017
C,720,1,1,1,0,ImageBased,PerClim,15,29.4,365,0,PV,2021
C,2880,1,0,1,1,TS,Persistence,60,22.5,365,365,PV,2019
C,45,1,1,0,0,ML,SP,5,26.4,146,183,Sources,2015
A,60,1,1,0,0,ML,Persistence,60,45.8,365,0,Sources,2018
C,240,0,0,0,0,ImageBased,SP,60,20.7,365,1675,Sources,2018
B,60,1,1,0,0,ML,Persistence,60,51.01,366,1095,Sources,2021
D,1440,1,0,0,0,ML,Persistence,360,32.8,183,365,Sources,2017
C,300,1,1,0,0,TS,Persistence,60,65.5274077309456,365,366,Sources,2015
C,1440,1,0,0,0,ML,Persistence,360,35.6,183,365,Sources,2017
B,60,1,1,0,0,Ens_Hyb,SP,60,34.0995200808285,730,2922,Sources,2021
N,180,1,0,0,0,ML,Persistence,60,46.358543417367,73,292,Sources,2018
C,2880,1,0,0,1,TS,Persistence,60,14,184,181,PV,2018
C,360,1,1,0,0,ML,SP,30,51.09,120,7305,Sources,2020
C,180,1,1,0,1,Reg,SP,60,3.216,350,700,Sources,2015
C,1500,1,0,0,0,TS,Persistence,60,26.9,365,0,PV,2017
A,60,1,1,0,0,ML,SP,60,12.62,365,4383,Sources,2021
C,120,1,0,0,0,ML,SP,5,17.3,91,183,Sources,2015
B,15,1,0,0,0,ML,Persistence,15,14,1430,1430,PV,2018
B,60,1,0,0,0,ImageBased,Persistence,60,42.5,183,365,Sources,2017
C,180,0,0,0,0,ImageBased,Persistence,60,33,345,345,Sources,2019
C,120,1,1,0,1,Reg,SP,60,17.593,350,700,Sources,2015
C,1440,0,0,1,0,ImageBased,Persistence,60,78,730,730,Sources,2020
A,15,1,1,0,0,ML,Persistence,5,24.75,61,443,PV,2021
D,60,1,1,0,0,Reg,SP,60,32.975,110,256,Sources,2018
D,60,1,1,0,0,ML,SP,60,38.1,28,64,Sources,2018
C,180,0,1,0,0,ML,SP,60,-0.1,365,1827,Sources,2021
C,60,1,1,0,1,Reg,SP,60,3.375,350,700,Sources,2015
C,60,0,0,0,0,ImageBased,Persistence,60,4,345,345,Sources,2019
C,300,1,0,0,0,ML,Persistence,60,46.5575349061146,73,292,Sources,2019
C,60,1,1,0,0,Reg,SP,60,2.48,350,700,Sources,2015
C,120,1,1,0,1,Reg,SP,60,7.632,350,700,Sources,2015
D,120,1,0,1,0,ML,Persistence,60,27,365,365,Sources,2016
N,240,1,0,0,0,ML,Persistence,60,42.6536615575167,73,292,Sources,2018
D,60,0,0,0,0,ImageBased,SP,10,38.26,731,1096,Sources,2022
C,120,1,1,0,0,ML,SP,60,20.312,350,700,Sources,2015
C,300,1,1,0,1,ML,Persistence,15,80.4,109.5,255.5,Sources,2016
C,180,1,0,0,0,ImageBased,SP,60,51,730,731,PV,2018
C,1440,1,0,0,0,ImageBased,Persistence,360,1,183,365,Sources,2017
B,60,1,1,0,0,Hybrid,PerClim,60,26.06,366,1095,Sources,2021
D,150,1,0,0,0,ImageBased,SP,15,11.8,120,0,Sources,2020
A,60,1,1,0,0,ML,SP,60,10.64,365,3285,Sources,2021
C,300,1,1,0,0,ML,SP,60,20.87,365,366,Sources,2015
A,15,1,1,0,0,TS,SP,15,14.51,274,548,Sources,2020
C,180,1,1,0,0,Reg,SP,60,1.675,350,700,Sources,2015
A,60,1,1,0,0,ML,Persistence,60,38,365,183,Sources,2019
C,120,1,1,0,0,ML,SP,60,2.124,350,700,Sources,2015
D,1440,1,0,1,0,NWP,Persistence,60,36.52,731,0,Sources,2019
B,1440,1,0,0,0,ML,Persistence,60,9.03213889915035,31,365,Sources,2021
C,720,1,1,1,0,ImageBased,PerClim,15,33.2,365,0,PV,2021
A,60,1,1,0,0,Ens,Persistence,60,38,365,183,Sources,2019
C,2880,1,0,1,1,TS,Persistence,60,20.4,365,365,PV,2019
C,1440,1,1,0,0,ML,Persistence,60,48.43,365,3653,Sources,2019
C,120,1,1,0,1,Reg,SP,60,8.003,350,700,Sources,2015
C,15,1,0,0,0,ImageBased,SP,5,15.1,366,730,Sources,2021
C,30,1,1,0,0,Hybrid,SP,30,4.1,365,7305,Sources,2020
C,1440,1,1,1,0,ML,Persistence,60,31.39,183,0,PV,2017
D,20,1,1,0,0,ML,SP,10,0.66,731,1096,Sources,2022
D,60,1,1,0,0,Ens,SP,60,36.3,27,64,Sources,2018
C,240,1,0,0,0,ImageBased,SP,60,61.2,180,180,PV,2018
C,120,1,0,0,0,ImageBased,SP,60,45.7,180,180,PV,2018
C,300,1,0,0,0,TS,Persistence,60,45.0594227504245,219,876,Sources,2018
B,60,1,1,0,0,ML,Persistence,60,38.96,366,1461,Sources,2021
C,10,1,0,0,0,ImageBased,SP,5,22.5,55,129,Sources,2013
B,120,1,1,0,0,TS,SP,60,90.4,365,365,Sources,2022
C,2880,1,0,0,1,TS,Persistence,60,29,184,181,PV,2018
D,1440,1,0,1,0,ImageBased,Persistence,60,43,458,0,PV,2018
C,1440,1,0,0,0,ML,Persistence,360,31.8,183,365,Sources,2017
C,300,1,1,0,0,TS,Persistence,60,63.0788774685299,365,366,Sources,2015
A,15,1,0,0,0,ML,SP,5,14.7,91,183,Sources,2015
C,240,1,1,0,0,ImageBased,SP,15,35.8,181,731,Sources,2021
N,300,1,0,0,0,TS,Persistence,60,50.3259259259259,73,292,Sources,2018
C,1560,1,0,0,0,TS,Persistence,60,28.2,365,0,PV,2017
C,2880,1,0,1,1,TS,Persistence,60,20.2,365,365,PV,2019
C,2880,1,1,1,0,ImageBased,Persistence,15,37.5,365,0,PV,2021
C,360,1,0,0,0,ML,Persistence,60,27.4944214217405,73,292,Sources,2019
C,20,1,0,0,0,ML,Persistence,10,5.2,109.5,547.5,PV,2019
C,180,0,1,0,0,ML,SP,60,2.95,365,1827,Sources,2021
C,180,0,0,0,0,ImageBased,SP,60,11.8,365,1675,Sources,2018
C,60,1,1,0,0,ML,SP,60,10.86160216595,730,2922,Sources,2021
C,1440,0,0,1,1,ML,Persistence,60,55.8,365,2556,Sources,2018
B,60,1,1,0,1,Reg,SP,60,2.009,350,700,Sources,2015
C,360,1,1,0,0,ML,Persistence,60,62.8276409849087,365,366,Sources,2015
A,75,1,1,0,0,ML,SP,15,17.03,30,178.12,PV,2019
B,180,1,1,0,0,ML,SP,60,15.354,350,700,Sources,2015
C,60,1,1,0,1,ML,SP,60,18.4740146719441,90,1460,Sources,2021
C,60,1,1,0,1,Hybrid,SP,60,32.3829856632419,246,1460,Sources,2021
C,60,1,1,0,0,Ens_Hyb,SP,60,37.9570516540917,730,2922,Sources,2021
B,360,0,1,0,0,ML,SP,60,28.51,91,274,Sources,2016
N,60,1,0,0,0,TS,Persistence,60,35.1994145627516,73,292,Sources,2018
C,180,1,1,0,0,ImageBased,SP,15,32.3,181,731,Sources,2021
C,240,1,0,0,0,TS,Persistence,60,25.9,365,0,PV,2017
B,1440,1,0,0,0,ML,Persistence,60,17.975467155795,30,365,Sources,2021
C,1440,0,1,0,0,ML,Persistence,60,40.77,365,2192,Sources,2019
C,120,1,0,1,0,ML,SP,15,26.75,365,853,PV,2021
N,15,1,1,0,0,TS,Persistence,15,17.0554691550026,146,585,Sources,2018
B,10,1,0,0,0,ImageBased,SP,5,14,1,7,PV,2015
C,60,1,1,0,1,Reg,SP,60,1.784,350,700,Sources,2015
B,5,1,0,0,0,ImageBased,SP,5,12.9,1,7,PV,2015
C,2880,1,0,1,1,TS,Persistence,60,19.2,365,365,PV,2019
B,60,1,1,0,0,Hybrid,PerClim,60,19.13,366,1461,Sources,2021
B,1440,1,0,0,0,ML,Persistence,60,18.4766050054407,31,365,Sources,2021
C,2880,1,1,1,0,ImageBased,PerClim,15,30,365,0,PV,2021
C,1440,1,0,0,0,ML,Persistence,360,40.1,183,365,Sources,2017
B,1440,1,0,0,0,ImageBased,Persistence,360,66.9,183,365,Sources,2017
C,360,1,1,1,0,Ens,SP,15,15.79,730,730,Sources,2020
B,120,1,0,0,0,ImageBased,SP,60,39.5,730,731,PV,2018
A,60,1,0,0,0,ML,SP,5,14.5,91,183,Sources,2015
B,30,1,0,0,0,ML,Persistence,15,15,1430,1430,PV,2018
C,1440,1,1,0,0,Ens,Persistence,15,36.09,61,0,PV,2016
C,60,1,1,0,1,Reg,SP,60,24.595,350,700,Sources,2015
B,60,1,1,0,0,Ens,Persistence,60,35,365,183,Sources,2019
A,600,1,0,0,0,ML,Persistence,10,20.4,335,30,PV,2016
N,180,1,1,0,0,Reg,SP,60,31.019,350,700,Sources,2015
D,60,1,0,0,0,ML,Persistence,60,34.76,365,1461,Sources,2020
C,360,1,1,0,0,Hybrid,SP,30,56.19,365,7305,Sources,2020
D,60,1,0,0,0,Reg,Persistence,60,-94.6085024267587,731,730,Sources,2019
C,1440,1,0,1,1,ML,Persistence,60,0.26,365,365,PV,2014
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,34,184,181,PV,2018
C,60,1,1,0,0,ML,SP,60,16.657027183343,365,730,Sources,2022
D,60,1,1,0,0,ML,Persistence,60,33,365,183,Sources,2019
D,40,1,1,0,0,ML,SP,10,16.81,731,1096,Sources,2022
D,60,1,0,0,0,ML,Persistence,60,75.9,365,730,Sources,2019
N,4320,1,1,1,0,Ens_Hyb,Persistence,15,34.92,122,243,PV,2018
B,60,1,1,0,0,Ens,Persistence,60,48,365,183,Sources,2019
D,60,1,0,0,0,ML,Persistence,60,2.53436138115991,731,730,Sources,2019
C,240,0,1,0,0,ML,SP,60,9.8,365,1827,Sources,2021
C,120,1,1,0,0,ML,Persistence,60,52.9639401934917,365,366,Sources,2015
C,5,1,0,0,0,ML,SP,5,8,109.770833333333,154.1875,Sources,2018
C,180,1,0,0,0,TS,Persistence,60,40.7892204042348,73,292,Sources,2019
C,60,1,1,0,1,ML,SP,60,28.4258532492489,271,1460,Sources,2021
B,1440,1,0,0,0,ML,Persistence,60,47.2278285646444,31,365,Sources,2021
C,180,1,0,1,0,ML,SP,15,30.15,365,853,PV,2021
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,23,184,181,PV,2018
A,300,1,1,0,0,TS,SP,60,13.8,365,366,Sources,2015
B,1440,1,0,1,0,NWP,Persistence,60,31.34,731,0,Sources,2019
D,40,1,1,0,0,ML,SP,10,18.72,731,1096,Sources,2020
C,240,1,1,0,1,ML,SP,15,58.6,109.5,255.5,Sources,2016
C,360,0,0,0,0,ImageBased,SP,60,20.6,365,1675,Sources,2018
B,360,1,0,0,0,ML,SP,60,31.0091230683299,365,1095,Sources,2022
C,60,1,0,0,0,ML,Persistence,60,-6.9,183,365,Sources,2017
C,60,1,1,0,0,ML,SP,60,9.73629320619786,730,2922,Sources,2021
C,90,1,0,1,0,ML,SP,15,31.49,365,853,PV,2021
B,60,1,1,0,0,ML,SP,60,18.6242317083439,730,2922,Sources,2021
D,75,1,1,0,0,TS,SP,15,12.01,274,548,Sources,2020
A,120,1,1,0,0,TS,Persistence,60,43.5588972431078,365,366,Sources,2015
B,120,1,1,0,1,Reg,SP,60,2.103,350,700,Sources,2015
B,90,1,1,0,0,ImageBased,PerClim,15,16.13,91,335,Sources,2022
C,1440,0,0,1,1,ML,Persistence,60,53.5,365,2556,Sources,2018
C,2880,1,0,1,1,TS,Persistence,60,20.4,365,365,PV,2019
C,360,1,1,0,0,ML,SP,30,5.35,92,7305,Sources,2020
C,1440,1,0,1,1,Reg,SP,60,40.6593406593407,731,730,PV,2019
B,60,1,0,0,0,ML,Persistence,60,54.5698370125851,365,1095,Sources,2019
C,60,1,1,0,1,Reg,SP,60,3.475,350,700,Sources,2015
B,1440,1,0,0,0,ML,Persistence,60,24.3723489625129,30,365,Sources,2021
C,120,1,1,0,1,Reg,SP,60,2.575,350,700,Sources,2015
D,1440,0,1,1,0,ImageBased,SP,60,22.3880597014925,365,0,Sources,2015
C,300,1,0,0,0,TS,Persistence,60,47.9925592931329,219,876,Sources,2018
C,20,1,0,0,0,ML,SP,5,23.6,109.770833333333,154.1875,Sources,2018
B,180,0,1,0,0,ML,SP,60,16.54,91,274,Sources,2016
B,60,1,1,0,1,Reg,SP,60,1.608,350,700,Sources,2015
C,60,1,0,0,0,ML,Persistence,60,2.8,183,365,Sources,2017
C,60,1,1,0,0,ML,Persistence,60,48.2289206834282,365,730,Sources,2022
C,60,1,1,0,0,TS,Persistence,60,43.0113802159323,877,3506,Sources,2017
C,60,1,1,0,0,ImageBased,SP,15,21.6,181,731,Sources,2021
C,1440,0,0,1,1,ImageBased,Persistence,60,48,304,0,PV,2011
C,165,1,0,1,0,ML,SP,15,35.74,365,853,PV,2021
C,1020,1,1,1,1,TS,Persistence,60,68,90,180,Sources,2021
B,1440,1,0,0,0,ML,Persistence,60,28.3862770012707,28,365,Sources,2021
C,60,1,1,0,0,ML,SP,60,14.704,350,700,Sources,2015
C,180,1,1,0,0,Reg,SP,60,22.793,350,700,Sources,2015
C,1440,1,0,1,1,Hybrid,PerClim,60,-0.18,184,181,PV,2020
B,15,1,0,0,0,ML,Persistence,15,-25.7,183,365,Sources,2017
A,0.166666666666667,0,0,0,1,TS,SP,0.166666666666667,18,304,183,Sources,2018
B,180,1,1,0,1,Reg,SP,60,5.894,350,700,Sources,2015
B,1440,1,0,0,0,ML,Persistence,60,10.5889050540831,30,365,Sources,2021
C,1440,0,0,1,1,ML,Persistence,60,53.8,365,2556,Sources,2018
A,60,1,0,0,0,Hybrid,SP,60,39.95,365,366,Sources,2017
C,360,1,0,0,0,ML,Persistence,60,44.904347826087,219,876,Sources,2018
B,60,1,1,0,1,Reg,SP,60,2.004,350,700,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,14.4,365,365,PV,2019
C,180,0,0,0,0,ImageBased,SP,60,17.6,365,1675,Sources,2018
C,60,1,0,0,0,ML,Persistence,60,-20.1,183,365,Sources,2017
C,30,1,1,0,0,ML,SP,30,0.73,90,7305,Sources,2020
D,10,0,0,0,0,ImageBased,SP,10,11.56,731,1096,Sources,2022
B,180,1,1,0,0,TS,SP,60,11.8,365,365,Sources,2022
C,180,1,1,1,0,ImageBased,SP,30,44,365,0,Sources,2017
B,20,1,0,0,0,ML,Persistence,5,33.7264150943396,121.666666666667,121.666666666667,Sources,2019
C,60,1,0,0,0,ML,Persistence,60,80.61,82,303,Sources,2019
C,1440,1,1,0,0,ML,Persistence,60,28.33,365,2556,Sources,2019
C,120,1,1,0,1,Reg,SP,60,10.337,350,700,Sources,2015
C,2880,1,0,0,1,TS,Persistence,60,22,184,181,PV,2018
C,60,1,1,0,0,ML,SP,60,9.44,120,5114,Sources,2020
C,300,0,1,0,0,ML,SP,60,38.5624276713386,219,876,Sources,2018
C,60,1,0,0,0,ML,Persistence,60,40.0465206435356,365,1095,Sources,2019
C,60,1,1,0,0,Ens_Hyb,SP,60,33.5921726976239,730,2922,Sources,2021
C,360,1,1,0,0,ML,SP,60,28.3875765028885,365,730,Sources,2022
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,25,184,181,PV,2018
C,15,1,1,0,0,ML,SP,5,19.2,146,183,Sources,2015
C,120,1,0,1,0,TS,SP,15,33.4,365,853,PV,2021
D,1440,0,0,1,1,ML,Persistence,60,41.4,365,2556,Sources,2018
B,120,1,1,1,0,TS,Persistence,15,5.54,731,0,Sources,2019
A,60,1,1,0,0,Hybrid,SP,60,11.17,365,3285,Sources,2021
B,60,1,1,0,0,Hybrid,Persistence,60,6.96,150,580,Sources,2022
B,60,1,0,0,0,ML,Persistence,60,56.2076749435666,365,1095,Sources,2019
C,360,1,1,0,0,ML,Persistence,60,72.8378378378378,365,730,Sources,2022
C,360,1,1,1,0,Ens,SP,15,8.87,730,730,Sources,2020
C,1440,0,1,0,0,ML,Persistence,60,35.67,365,2556,Sources,2019
D,75,1,1,0,0,Ens,SP,15,11.37,274,548,Sources,2020
C,2880,1,0,1,1,TS,Persistence,60,24.3,365,365,PV,2019
C,1440,1,0,0,0,Ens_Hyb,Persistence,60,25,365,0,PV,2018
C,60,1,1,0,1,Hybrid,SP,60,36.6969916130588,90,1460,Sources,2021
D,120,1,0,0,1,Ens,SP,30,15.47,365,365,Sources,2018
D,60,1,0,0,0,ML,Persistence,60,42.4,30,730,Sources,2019
C,180,1,1,0,0,TS,SP,60,6.85,365,366,Sources,2015
B,90,1,0,0,0,ML,SP,5,23.3,91,183,Sources,2015
C,1440,1,0,1,1,Hybrid,PerClim,60,14.88,184,181,PV,2020
C,60,1,1,0,0,TS,SP,60,5.5,365,365,Sources,2022
C,60,1,1,0,1,Reg,SP,60,9.169,350,700,Sources,2015
C,360,1,1,0,0,ML,SP,30,-1.09,90,7305,Sources,2020
C,1440,1,1,0,0,ML,Persistence,60,20.6,270,284,Sources,2015
D,180,0,0,1,0,ML,Persistence,60,40,365,365,Sources,2016
C,360,1,1,0,0,TS,SP,60,7.94,365,366,Sources,2015
B,60,1,1,0,0,ML,SP,60,17.6816111244306,730,2922,Sources,2021
D,60,1,0,0,0,ML,Persistence,60,17.7,183,365,Sources,2017
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,29,184,181,PV,2018
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,20,184,181,PV,2018
B,60,1,1,0,1,Reg,SP,60,1.271,350,700,Sources,2015
B,300,1,1,0,1,ML,SP,60,30.2625723186471,273.75,821.25,Sources,2015
B,1440,1,0,0,0,ML,Persistence,60,-36.1961274203623,30,365,Sources,2021
B,60,1,0,0,0,Reg,Persistence,60,65.5992010652463,365,1095,Sources,2022
A,240,1,1,0,0,ML,SP,60,26.19,365,366,Sources,2015
B,60,1,0,0,0,ML,Persistence,60,55.4420030659172,731,730,Sources,2019
A,60,1,1,0,0,Ens,Persistence,60,39,365,183,Sources,2019
B,15,1,0,0,0,ML,Persistence,15,-29.3,183,365,Sources,2017
C,30,1,0,0,0,ImageBased,SP,5,23.6,109.770833333333,154.1875,Sources,2018
C,30,1,0,1,0,ML,SP,15,-26.84,365,853,PV,2021
B,180,1,1,0,0,Reg,SP,60,21.6769391789743,365,1095,Sources,2022
D,60,1,1,0,0,TS,Persistence,60,13,365,183,Sources,2019
C,60,0,1,0,0,ML,SP,60,10,365,1827,Sources,2021
C,60,1,1,0,0,ML,Persistence,30,37.0895376812537,68,267,Sources,2016
C,360,1,0,0,0,ImageBased,SP,60,69.8,180,180,PV,2018
C,60,1,1,0,0,ML,SP,60,6.42857142857144,365,366,Sources,2015
B,120,1,1,0,1,Reg,SP,60,2.391,350,700,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,25.2,365,365,PV,2019
C,2880,1,0,0,1,Ens,Persistence,60,19,184,181,PV,2018
A,90,1,0,0,0,ML,SP,5,17.9,91,183,Sources,2015
C,60,1,1,0,1,ML,SP,60,40.3386447374717,90,1460,Sources,2021
C,15,1,0,1,0,ML,SP,15,-71.91,365,853,PV,2021
C,360,1,1,1,0,Ens,SP,15,13.49,730,730,Sources,2020
E,1440,1,0,0,0,ImageBased,Persistence,360,12.4,183,365,Sources,2017
B,60,1,1,0,1,ML,SP,60,18.5431745171653,90,1460,Sources,2021
B,180,1,1,0,1,Reg,SP,60,4.121,350,700,Sources,2015
C,240,1,0,0,0,ML,Persistence,60,47.2552532985828,219,876,Sources,2018
C,180,1,1,0,0,ML,SP,60,3.044,350,700,Sources,2015
C,1440,1,0,1,1,ML,SP,60,45.1977401129944,731,730,PV,2019
B,60,1,0,0,0,ML,Persistence,60,25.4716981132076,1338.33333333333,1338.33333333333,Sources,2019
D,75,1,1,0,0,Ens,SP,15,11.75,274,548,Sources,2020
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,32,184,181,PV,2018
C,1440,1,0,0,0,ImageBased,Persistence,360,45.8,183,365,Sources,2017
D,10,1,1,0,0,ImageBased,Persistence,10,22.56,10,365,Sources,2021
A,60,1,1,0,0,ML,Persistence,60,32.5367647058824,365,366,Sources,2015
C,60,1,0,0,0,ML,Persistence,60,25.4,183,365,Sources,2017
C,60,1,0,0,0,ML,Persistence,60,15.6,183,365,Sources,2017
E,1440,1,0,0,0,ML,Persistence,360,6.1,183,365,Sources,2017
B,60,1,1,0,1,Hybrid,SP,60,33.5916556250578,38,1460,Sources,2021
C,15,1,1,0,0,ImageBased,SP,1,12.7,160,479,Sources,2017
B,75,1,1,0,0,Ens,SP,15,14.56,274,548,Sources,2020
C,240,0,0,0,0,ImageBased,SP,60,15.8,365,1675,Sources,2018
D,60,1,0,0,0,ML,Persistence,60,39.35,30,730,Sources,2019
C,25,1,1,0,0,ImageBased,SP,5,20.9,146,183,Sources,2015
B,60,1,1,0,1,ML,SP,60,39.8709021444417,90,1460,Sources,2021
E,15,1,0,0,0,ML,Persistence,15,-22.5,183,365,Sources,2017
D,10,1,0,0,0,ML,Persistence,1,42.1502037647972,365,292,Sources,2022
D,120,1,1,0,0,TS,SP,15,14.59,274,548,Sources,2020
B,120,0,1,1,0,ML,SP,60,16.85,91,274,Sources,2016
C,25,1,0,0,0,ImageBased,Persistence,5,18,165,231,Sources,2019
C,30,1,1,0,0,ML,SP,30,18.14,90,7305,Sources,2020
C,50,1,0,0,0,ML,Persistence,10,3.9,109.5,547.5,PV,2019
C,180,1,1,0,1,Reg,SP,60,9.825,350,700,Sources,2015
C,180,1,1,1,0,ImageBased,SP,30,39,365,0,Sources,2017
D,60,1,1,0,0,Ens,SP,60,50.6,28,64,Sources,2018
B,60,1,1,0,0,ImageBased,PerClim,15,-6.24,90,335,Sources,2022
D,5,1,0,0,0,ML,Persistence,1,61.9527726187318,365,292,Sources,2022
C,60,1,0,1,1,Ens_Hyb,SP,60,22,77,237,PV,2017
A,90,1,1,0,0,Ens,SP,15,19.09,274,548,Sources,2020
N,120,1,0,0,0,ML,Persistence,60,31.3546083463513,73,292,Sources,2018
B,240,1,1,0,1,ML,SP,60,22.2222222222222,273.75,821.25,Sources,2015
C,2880,0,1,1,0,Hybrid,SP,60,35.5704697986577,365,365,Sources,2015
C,720,1,1,1,0,ImageBased,Persistence,15,36.8,365,0,PV,2021
B,1440,1,0,0,0,ML,Persistence,60,40.5343071305016,31,365,Sources,2021
C,2880,1,0,1,1,TS,Persistence,60,23.1,365,365,PV,2019
B,30,1,1,0,1,ImageBased,SP,1,21.21,46,0,Sources,2015
D,60,1,1,0,0,ML,SP,10,31.96,731,1096,Sources,2022
C,240,1,0,0,0,ML,Persistence,60,43.8424228084704,219,876,Sources,2018
N,180,1,1,0,0,ML,SP,60,28.689,350,700,Sources,2015
A,120,1,1,0,0,TS,Persistence,60,47.3015873015873,365,366,Sources,2015
B,120,1,1,0,0,ML,SP,60,14.9024246008279,273.75,821.25,Sources,2015
D,30,1,0,0,1,Ens,SP,30,14.64,365,365,Sources,2018
A,90,1,1,0,0,ML,SP,15,21.2,30,178.12,PV,2019
B,15,1,0,0,0,ML,Persistence,15,-24.7,183,365,Sources,2017
C,90,1,0,1,0,TS,SP,15,16.84,365,853,PV,2021
C,360,1,1,1,0,Ens,SP,15,20.48,730,730,Sources,2020
C,180,1,1,0,0,ML,SP,60,30.475,350,700,Sources,2015
